,Authors	Contributors,Author,Contribututors
3950,,"KARAǴORǴEVIĆ, Božidar ","BELL, Clara "
3951,,"KARAMZIN, Nikolai Mikhailovich.","GOLDBACH, C. von."
3952,,"KARLSTEIN, Heinrich Oscar von.","VALENTINE, Ferdinand C."
3953,,"KARMANOV, D. I.","KOLOSOV, Vladimir Ivanovich."
3954,,"KAROLIDES, Paulos.","MAKEDONSKI, D. V."
3955,,"KÄRRSTRÖM, L. I.","KAENEL, Friedrich von."
3956,,"KARSLAND, Veva ","KARSLAND, Collis."
3957,,,"PONSONBY, Emily Charlotte Mary "
3958,,"KATZMAIR, Joerg.","SCHMELLER, Johann Andreas."
3959,,"KAUFMANN, Georg ","ERDMANNSDOERFFER, Bernhard."
3960,,"KAVANAGH, Julia.","W., C. W."
3961,,"KAVANAGH, Morgan Peter.","MACDERMOT, Martin."
3962,,"KEATING, Geoffrey ","O'CONNOR, Dermod."
3963,,"KEATING, Geoffrey ","O'MAHONY, John."
3964,,"KEATING, John Marie.","GRANT, Ulysses Simpson "
3965,,"KEATING, William H.","COLHOUN, James Edward."
3966,,"Keats, John","Houghton, Richard Monckton Milnes "
3967,,"Keats, John","ROSSETTI, William Michael."
3968,,"Keats, John","ARNOLD, William Thomas."
3969,,"Keats, John","Scott, William Bell"
3970,,"Keats, John","SCOTT, William Bell."
3971,,"Keats, John","FORMAN, Harry Buxton."
3972,,"Keats, John","BATES, Arlo."
3973,,"Keats, John","GARRETT, Edmund Henry."
3974,,"Keats, John","MACDOUGALL, William Brown."
3975,,"Keats, John","LOW, William Hicok."
3976,,"Keble, John","TEMPLE, W."
3977,,"Keble, John","OVERBECK, Johann Friedrich."
3978,,"Keble, John","WARING, Eleanor."
3979,,"Keble, John","M., E. L."
3980,,"KEDDIE, William.",MACDONALD 
3981,,"KEELY, Robert Neff ","DAVIS, Gwilym George."
3982,,"KEEN, Ophelia.","BENJAMIN, Ophelia."
3983,,"KEIGHTLEY, Thomas.","SMITH, Joshua Toulmin."
3984,,"KEIGHTLEY, Thomas.","ANTONIADES, Spuridon."
3985,,"KEIGHTLEY, Thomas.","SMITH, Joshua Toulmin."
3986,,"KEIM, De Bonneville Randolph.","SHERIDAN, Philip Henry."
3987,,"KELCH, Christian.","LOSSIUS, Johannes."
3988,,"KELETI, Károly.","SCHWIEDLAND, Frédéric."
3989,,"KELLY, Edward ","BORLASE, James Skipp."
3990,,"KELTIE, John Scott ","Mackinder, Halford John "
3991,,"Kemble, John Mitchell","BIRCH, Walter de Gray."
3992,,"KEMPENARE, Philips de.","BLOMMAERT, Philippe Marie."
3993,,"KEN, Crispin.","ROBINS, Arthur."
3994,,"KEN, Crispin.","ROBINS, Arthur."
3995,,"KENNEDY, Alexander W. M. Clark.","FAED, James "
3996,,"KENNEDY, Crammond.","CONANT, C. B."
3997,,"KENNEDY, Kate ","NEWBY, Emma."
3998,,"KENNEDY, Robert John ","KENNEDY, Bertha Jane "
3999,,"KENNET, White ","LANDRIN, C. "
4000,,"KENRICK, William ","BICKERSTAFFE, Isaac."
4001,,"KENRICK, William ","BICKERSTAFFE, Isaac."
4002,,,"GREENSTREET, James Harris."
4003,,,"BAXTER, Wynne Edwin."
4004,,,"HALL, William "
4005,,"KENTISH, William Augustus.","AMHERST, William Pitt "
4006,,"KEPPEL, Henry ","BROOKE, James "
4007,,"KEPPEL, Henry ","BRIERLY, Oswald Walters "
4008,,"KERESZTESI, József.","HOFFER, Endre."
4009,,"KERL, Bruno.","CROOKES, William "
4010,,"KERL, Bruno.","BRANNT, William Theodore."
4011,,"KERN, J. Conrad.","DUBOIS, Charles "
4012,,"Kern, H. (Hendrik) ","WILLEMS, Alphonse Charles Joseph."
4013,,"KERVYN DE VOLKAERSBEKE, Philippe Augustin Chrétien ","DIEGERICK, Isidore Lucien Antoine."
4014,,,"Wise, Charles."
4015,,"KEYS, John ","GADD, George Frederick."
4016,,"KEYS, Mary ","WYLDE, Flora Frances."
4017,,"KEYSER, Charles Shearer.","SMITH, Horace J."
4018,,"KÉZA, Simon de.","PODHRADCZKY, József."
4019,,,"NEWNES, George "
4020,,KHEVENHUELLER,"WOLF, Adam."
4021,,"KIDDER, Daniel Parish ","FLETCHER, James C."
4022,,"KIDDER, Frederic.","ADAMS, John "
4023,,"KIDDER, Frederic ","Gould, Augustus A. (Augustus Addison)"
4024,,"KIEPERT, Heinrich.","M., G. A."
4025,,,"HOYLE, Charles."
4026,,"Kilvert, Francis","NICHOLS, William Luke."
4027,,"KIMBERLEY, W. B.","PASCOE, J. J."
4028,,,"KEDDIE, Henrietta."
4029,,"KINDER, Philip.","FLETCHER, William George Dimock."
4030,,,"ARNOLD, Samuel James."
4031,,"KING, Annie ","LIDDON, Henry Parry."
4032,,"KING, Austin J. ","WATTS, B. H."
4033,,"KING, Edward ","CHAMPNEY, James Wells."
4034,,"KING, Grace Elizabeth.","GIBBS, George Fort."
4035,,"KING, Horatio ","BUCHANAN, James "
4036,,"King, J. Anthony (John Anthony)","WHITNEY, Thomas R."
4037,,"King, John William.","HULL, Thomas Arthur."
4038,,"KING, Thomas Starr.","ANDREW, John "
4039,,"KING, William ","ROWNEY, Thomas H."
4040,,"KINGLAKE, Alexander William.","CLARKE, George Sydenham "
4041,,"Kingsley, Charles","SPEED, Lancelot."
4042,,"Kingsley, Charles","BROCK, Charles Edmund."
4043,,"Kingsley, Charles","BROCK, Charles Edmund."
4044,,"Kingsley, Charles","LEASK, William Keith."
4045,,"KINGSLEY, Henry.","SHORTER, Clement King."
4046,,"Kingston, William Henry Giles","FRITH, Henry."
4047,,"Kingston, William Henry Giles","FRITH, Henry."
4048,,"Kingston, William Henry Giles","LOW, Charles Rathbone."
4049,,"KINKER, Johannes.","LE F.,, J."
4050,,,"CAULFIELD, Richard."
4051,,"Kipling, Rudyard","MACMANUS, Blanche."
4052,,"Kipling, Rudyard","TABER, I. W."
4053,,"Kipling, Rudyard","BALESTIER, Charles Wolcott."
4054,,"Kipling, Rudyard","WILLEUMIER, Guillette."
4055,,"KIRCHHOFF, Alfred.","LEUTEMANN, Heinrich."
4056,,"KIRCHHOFF, Alfred ","SONNENSCHEIN, Adolf."
4057,,"KIRK, Thomas ","BROWN, Peter Hume."
4058,,"KIRKLAND, Joseph.","KIRKLAND, Caroline "
4059,,"KIRKPATRICK, John ","Ninham, Henry"
4060,,"KITE, Edward.","BUTCHER, W. Henry."
4061,,"KITTREDGE, George Lyman ","WINCHESTER, Caleb Thomas."
4062,,KLANKE ,RICHTER 
4063,,"KLAPKA, György ","MEDNYÁNSZKY, Sándor."
4064,,"KLAPROTH, Heinrich Julius von.","SHOBERL, Frederick."
4065,,"KLEEN, Victor.","KLEEN, Gustaf."
4066,,"KLEIN, Carl ","MARSHALL, F. E. "
4067,,"KLINGENBERG, Johann von.","GUILLIMANNUS, Franciscus."
4068,,"KLITSCHE DE LA GRANGE, Antoinette von.","GREY, Gertrude."
4069,,"KLOPP, Onno.","TSERCLAES, Joan "
4070,,"Klunzinger, C. B.","Schweinfurth, Georg August"
4071,,"Klunzinger, C. B.","Schweinfurth, Georg August"
4072,,"KLUTSCHAK, Heinrich W.","SCHWATKA, Frederick."
4073,,"KMETY, György ","Görgey, Artúr"
4074,,"KNIGHT, Charles ","Walford, Edward"
4075,,"KNIGHT, William Angus.","GOODWIN, Harry."
4076,,"KNOCHENHAUER, Theodor.","MENZEL, Carl."
4077,,"KNOWLES, James Sheridan.","WALKER, John "
4078,,"KNOX, Charles H.","WARREN, Henry "
4079,,"KOCH, Carl Heinrich Emil.","KOCH, Therese."
4080,,"KOCH, Christophe Guillaume de.","L., C. T."
4081,,"KOEGLER, Joseph.",HOVERDEN
4082,,"KOHL, Johann Georg.","KESSON, John."
4083,,"KOHLRAUSCH, Heinrich Friedrich Theodor.","GUINEFOLLE, A."
4084,,"KOLBERG, Henryk Oskar.","KOPERNICKI, Izydor."
4085,,"KOLLMANN, Paul ","NESBITT, Henry Arthur."
4086,,"KOLLONITZ, Paula von ","OLLIVANT, Joseph Earle."
4087,,"KONIECPOLSKI, Władysław.",OLIVIER
4088,,,"WALD, Samuel Gottlieb."
4089,,"KONTOSTAULOS, Alexandros.","SEDGWICK, Henry Dwight "
4090,,"KOPISCH, August.","BOETTICHER, Carl Gottlieb Wilhelm."
4091,,"KORAES, Adamantios I.","RALLI, Pandeli."
4092,,"KORAES, Adamantios I.",QUEX DE SAINT
4093,,"KORAN, Josef J. ","REZEK, Antonín."
4094,,"KORB, Joannes Georgius.",MACDONNELL 
4095,,"KORB, Joannes Georgius.","SEMEVSKY, Mikhail Ivanovich."
4096,,"KORTUEM, Johann Friedrich Christoph.",REICHLIN
4097,,"KOSINSKI, Władysław Euzebiusz.","MORACZEWSKI, Jedrzej."
4098,,"KOSTOMAROV, Nikolai Ivanovich.","Mazepa, Ivan Stepanovych"
4099,,"KOSTOMAROV, Nikolai Ivanovich.","AKSAKOV, Konstantin Sergeevich."
4100,,"KOTZEBUE, August Friedrich Ferdinand von.","Hoare, Prince"
4101,,"KOTZEBUE, August Friedrich Ferdinand von.","SCHINK, A."
4102,,"KOTZEBUE, August Friedrich Ferdinand von.","PAPENDICK, George."
4103,,"KOTZEBUE, August Friedrich Ferdinand von.","NEUMAN, Henry."
4104,,"KOTZEBUE, August Friedrich Ferdinand von.","LUDGER, Conrad."
4105,,"KOTZEBUE, Otto von.","LLOYD, Hannibal Evans."
4106,,"KOVALEVSKY, Egor Petrovich ","MARKOV, E. S."
4107,,"Krapf, J. L. (Johann Ludwig)","RAVENSTEIN, Ernst Georg."
4108,,"KRATZ, Gustav.","KLEMPIN, Robert."
4109,,"KRAUSE, Carl Christian Friedrich.","HOHLFELD, Paul."
4110,,"KRAUSE, Carl Christian Friedrich.","VETTER, Richard."
4111,,"KRAUSHAR, Aleksander.","KONOPKA, Łukasz."
4112,,"KREFTING, O.","BARNBY, F."
4113,,,"GRIGG, Elisabeth L."
4114,,"KRITOBOULIDES, Kallinikos.","IOANNIDES, A. "
4115,,"KRONES VON MARCHLAND, Franz Xaver.","HORMAYR, Joseph "
4116,,"KRONES VON MARCHLAND, Franz Xaver.","BALDACCI, Anton von "
4117,,"KROON, H. ","KAPTEIJN, F."
4118,,"KRUG, Johann Philipp.","KUNIK, Arist Aristovich."
4119,,"KRUGLUY, Aleksandr Osipovich.","BARSUKOV, Aleksander Platonovich."
4120,,"KUBARY, Jan Stanisław.","SCHMELTZ, Johannes Diedrich Eduard."
4121,,"KUEHNE, August.","ZIMMERMANN, Carl "
4122,,"Kuffner, Hanuš","Miškovský, Jozef."
4123,,"KUROPATKIN, Aleksei Nikolaevich.","GOWAN, Walter Edward."
4124,,"KURZ, Franz.","CZERNY, Albin."
4125,,"L., A.","RAINE, James "
4126,,"L., A. F.","HERDMAN, Robert."
4127,,"L., D. S.","LAWLOR, Denys Shyne."
4128,,"L., E. M.","CATTERMOLE, Charles."
4129,,"L., F.","LLOYD, Francis "
4130,,"L., J. J. D.","P., J. W."
4131,,"L., P. G.","LAURIE, Peter George."
4132,,"L., R.","Rühle von Lilienstern, Johann Jakob Otto August"
4133,,"L., T.","LETCHWORTH, Thomas."
4134,,"L., T.","LETCHWORTH, Thomas."
4135,,"L., T. D.","LANDON, T. D."
4136,,"L., W. V.","VAN LOAN, Walton."
4137,,"L., X.","FIELD, Julian Osgood."
4138,,"L., X.","FIELD, Julian Osgood."
4139,,"L., X.","FIELD, Julian Osgood."
4140,,"LABARTHE, Pierre.","LAJAILLE, G."
4141,,"LABAUME, Eugène.","BOYCE, Edmund."
4142,,"LA BIZARDIÈRE, Michel David de.","Bartoszewicz, Julian."
4143,,"LA BONNINIÈRE DE BEAUMONT, Gustave Auguste de.","TAYLOR, William Cooke."
4144,,"LA BOULLAYE LE GOUZ, François de.","CROKER, Thomas Crofton."
4145,,,"Dawson, John William "
4146,,"La Brète, Jean de","DIXON, F. Hoper "
4147,,"LABRIOLA, Antonio.","PANE, Luigi dal."
4148,,"LA CARRIÈRE LA TOUR, Arsène.","NUGENT, H. P."
4149,,"LA CARRIÈRES, A. C. de.","ARNOUT, Jules B."
4150,,"LACHENWITZ, Fr. Ludwig.","WILKINSON, John "
4151,,"LA CITÉ, Jehan de, pseud. [i.e. F. Lauergne.]","FOURNIER, Édouard "
4152,,"LACOSTE, Guillaume.","CANGARDEL, François."
4153,,"LACOUR, Raoul.","FILHOS, L."
4154,,,"CASTAIGNE, Jean François Eusèbe."
4155,,"LADIMIR, F. ","MOREAU, E. "
4156,,,"CAMPBELL, afterwards BURY, Charlotte Susan Maria "
4157,,,"SCOTT, Alicia E. "
4158,,,"HEATH, James "
4159,,,"COLE, Henry Warwick "
4160,,,"PERKINS, Elizabeth Steele "
4161,,,"Craik, Dinah Maria Mulock"
4162,,,"Craik, Dinah Maria Mulock"
4163,,,GWATKIN 
4164,,,"RICHINGS, Rebecca."
4165,,,"CARTER, Anne."
4166,,,"DORSET, Catherine Ann."
4167,,,"NESBITT, F."
4168,,,"HOLMES, Dalkeith "
4169,,,"SULGER, Henry."
4170,,,"GREY, Herbert."
4171,,,"Collins, W. Lucas (William Lucas)"
4172,,"LA FARINA, Giuseppe.","ALLOM, Thomas."
4173,,"LAFERRIÈRE, J. ","GUILLON, Eugene A."
4174,,"LAFFITTE, Pierre.","HALL, John Carey."
4175,,"LA FLÉCHÈRE, Jean Guillaume de.","GILPIN, Joshua "
4176,,"LAGERGREN, Andreas.","AMINSON, Henrik."
4177,,"LAGNY, Germain de.","BRIDGEMAN, John "
4178,,"LAING, Malcolm.",Mary 
4179,,"LAIR, Jules Auguste ","Legrand, Emile"
4180,,,"STARK, Malcolm."
4181,,"LAIRD, Macgregor.","OLDFIELD, R. A. K."
4182,,"LAKE, Henry Atwell ","SIMPSON, William "
4183,,,"PLUMPTRE, James."
4184,,"LALANNE, François Antoine Maxime.","ALLAIS, Henri."
4185,,"LALLIÉ, Alfred.","CHAUX DE CHAMPEAUX, Pierre."
4186,,"LAMAS, Andrés.","ROSAS, Juan Manuel de "
4187,,"Lamb, Charles","TALFOURD, Thomas Noon "
4188,,"Lamb, Charles","SALA, George Augustus Henry Fairfield."
4189,,"Lamb, Charles","FITZGERALD, Percy Hetherington."
4190,,"Lamb, Charles","AINGER, Alfred "
4191,,"Lamb, Charles","GARDINER, Grace."
4192,,"Lamb, Charles","AINGER, Alfred "
4193,,"Lamb, Charles","Deighton, Kenneth."
4194,,"Lamb, Charles","TUER, Andrew White."
4195,,"LAMBERT, George ","CLIVE, Robert "
4196,,,"CARTWRIGHT, Robert "
4197,,"LAMONT, James ","LIVESAY, W."
4198,,"LAMONT, John ","CONSTABLE, Archibald "
4199,,"LA MOTHE, Marie Catherine ","CAREY, Mme B."
4200,,"LA MOTTE FOUQUÉ, Friedrich Heinrich Carl de ","HIPSLEY, William."
4201,,,"CLARK, Christopher "
4202,,,"BEARD, John Relly."
4203,,,"REDDING, Cyrus."
4204,,"LANCE, Adolphe Étienne.","GAUCHEREL, Léon."
4205,,,"DODD, George "
4206,,"LANDER, Richard ","CLAPPERTON, Hugh."
4207,,"LANDMANN, George ","WALKER, John "
4208,,"LANDON, afterwards MACLEAN, Letitia Elizabeth.","Scott, William Bell"
4209,,"LANDON, afterwards MACLEAN, Letitia Elizabeth.","SCOTT, William Bell."
4210,,"LANDOR, Walter Savage.","WHEELER, Stephen."
4211,,"LANDOR, Walter Savage.","CLYMER, William Branford Shubrick."
4212,,"Landsborough, D. (David)","LANDSBOROUGH, David "
4213,,,"COLE, Thomas "
4214,,"LANE, Edward William.","POOLE, Edward Stanley."
4215,,"LANE, Edward William.","POOLE, Stanley Lane."
4216,,"LANE, Laura M.","TOWNSEND, Mary Elizabeth "
4217,,"Lang, Andrew","Matthews, Brander"
4218,,"Lang, Andrew","MURRAY, Charles Oliver."
4219,,"Lang, Andrew","SYLVESTER, Paul "
4220,,"LANGBEIN, Georg.","BRANNT, William Theodore."
4221,,"LANGBRIDGE, Frederick.","LESLIE, George Dunlop."
4222,,"LANGDALE, Blanche.","PREST, Thomas Peckett."
4223,,"LANGDON, Richard.","MAUGHAN, afterwards STORY, Janet Leith."
4224,,"LANGE, Christian Christoph Andreas ","BRINCHMANN, Christopher."
4225,,"LANGEWIESCHE, Wilhelm ","COUTELLE, Carl."
4226,,"LANGFORD, John Alfred.","MACKINTOSH, C. S."
4227,,"LANGMEAD, afterwards TASWELL","CARMICHAEL, Charles Henry Edward."
4228,,"LANGTON, Robert ","HULL, William "
4229,,"LANIN, E. B. ","DILLON, Emile Joseph."
4230,,"LANJALLEY, Paul ","CORRIEZ, Paul "
4231,,"LANKENAU, H. von ","OELSNITZ, L. von der."
4232,,"LANKENAU, H. von ","CHESTER, Henrietta M."
4233,,"LA NOË, Gaston Ovide de.","MARGERIE, Emmanuel de."
4234,,"LAPPENBERG, Johann Martin.","THORPE, Benjamin."
4235,,"LAPPENBERG, Johann Martin.","THORPE, Benjamin."
4236,,"LA QUÉRIÈRE, Eustache de.","LANGLOIS, Eustache Hyacinthe."
4237,,"LARCOM, Thomas Aiskew ","COLBY, Thomas "
4238,,"LARKING, Cuthbert.","Laurie, William F. B. (William Ferguson Beatson)"
4239,,"LARNED, Joseph Nelson.","REILEY, Alan Campbell."
4240,,"LAROCHE, Ernest.","MARIONNEAU, Charles."
4241,,"LA ROCHEFOUCAULD LIANCOURT, François Alexandre Frédéric de ","NEUMAN, Henry."
4242,,"LARPENT, Francis Seymour.","Larpent, George Gerard de Hochepied "
4243,,"LASCELLES, Rowley.","STORER, Henry Sargant."
4244,,"Lathrop, George Parsons","REINHART, Charles S."
4245,,"LATIMER, John ","SYKES, John "
4246,,"LA TRAMBLAIS, de.","MEYER, Isidore."
4247,,,"TRENCH, Melesina "
4248,,,"Craik, Dinah Maria Mulock"
4249,,,"Craik, Dinah Maria Mulock"
4250,,,"CUNNINGHAM, Henry Stewart "
4251,,"LAURENS, Henry ","Dawson, Henry B. (Henry Barton)"
4252,,"LAURENTIUS, Jacobus.","ROEVER, Nicolaas de."
4253,,"LAURIE, James ","BALBI, Adriano."
4254,,"LAURIE, James ","BALBI, Adriano."
4255,,"LAUZIÈRES, Achille de.","AMBRA, Raffaele d'."
4256,,"LA VAISSIÈRE, Philippe Claude Marie Léonce de.","ABINAL, Frédéric Guillaume Patrice."
4257,,"LAVALLÉE, Théophile.","LENDY, Auguste Frédéric."
4258,,"LAVALLÉE, Théophile.","CHAMPIN, Jean Jacques."
4259,,"LAVALLEY, Gaston.","AUMONT DE ROCHEBARON, Louis Marie Céleste "
4260,,"LAVATER, Johann Caspar.","BOBÉ, Louis Theodor Alfred."
4261,,"LAVELEYE, Émile Louis Victor de ","THORPE, Mary "
4262,,,"Ruffini, Giovanni"
4263,,"LAW, William ","OKELY, Francis."
4264,,,"DE JONGH, Bertha."
4265,,"LAWSON, Emily M.","CATTERMOLE, Charles."
4266,,"LAWSON, afterwards MACK, Lizzie ","MACK, Robert Ellice."
4267,,"LAY, Feliks.","FISCHBACH, Friedrich."
4268,,"LAY, G. Tradescant.","SQUIER, Ephraim George."
4269,,"LAYCOCK, Samuel.","TREVOR, William "
4270,,Layman.,"STANCLIFFE, W."
4271,,,"ASH, Charles Bowker."
4272,,,"ADAMS, Coker."
4273,,"LAZAGA, Joaquín María.","SOTO, Benito."
4274,,"LAZÚRTEGUI, Julio de ","LARREA, Victor de."
4275,,"LEAKE, William Martin.","BRETON, L. "
4276,,,"FIELD, William "
4277,,"LEAMON, Robert.","COKE, Thomas William "
4278,,"LEANDER, Richard ","GRANVILLE, Paulina Bozzi."
4279,,"Leanerd, John","Brewer, Anthony"
4280,,,"CUMBERLAND, Robert Bakewell."
4281,,"LE BAKER, Galfridus ","THOMPSON, Edward Maunde "
4282,,"LEBEAU, Isidore.","MICHAUX, Adrien Joseph."
4283,,"LEBEAU, Isidore.","MICHAUX, Adrien Joseph."
4284,,"LEBEAU, Isidore.","MICHAUX, Adrien Joseph."
4285,,"LEBEAU, Isidore.","MICHAUX, Adrien Joseph."
4286,,"LEBEAU, Isidore.","MICHAUX, Adrien Joseph."
4287,,"LE BLANC DE LA VIGNOLLE, Jacques.","BERTRAND DE BROUSSILLON, Arthur "
4288,,"LEBON, André ","ARNOLD, William "
4289,,"LE BOUCQ, Pierre.","LE BOUCQ DE TERNAS, Amédée."
4290,,"LE BOUCQ, Simon.","HÉNAULT, Maurice."
4291,,"LE CHARPENTIER, Henri.",SERÉ
4292,,"LE CHARTIER, H. ","PELLERIN, G."
4293,,"LE CLERCQ DE LAPRAIRIE, Jules ","POQUET, Alexandre Eusèbe."
4294,,,"WOOLER, Thomas Jonathan."
4295,,"LEDAIN, Bélisaire.","SADOUX, Eugène."
4296,,"LEDEBUR, Carl von ",Frederick 
4297,,"LEDRU, André Pierre.","Zimmermann, Eberhard August Wilhelm von"
4298,,"LEE, F. D. ","AGNEW, J. L."
4299,,"LEE, Harry James Barton.","L., H. J. B."
4300,,"LEE, Henry ","LEE, Henry "
4301,,"LEE, Henry ","Lee, Robert E. (Robert Edward)"
4302,,"LEE, Mary ","COLLINS, T. H."
4303,,"LEE, Nora.","BLAGDEN, Isa."
4304,,"LEECH, Samuel.","COLLINS, Ebenezer."
4305,,"LEEKE, William.","COLBORNE, John "
4306,,,"RADECLIFFE, Noell."
4307,,"LEES, George Robinson.","HANAUER, James Edward."
4308,,"LEES, James Arthur ","CLUTTERBUCK, Walter J."
4309,,"LEES, James Arthur ","CLUTTERBUCK, Walter J."
4310,,"LEES, James Arthur ","CLUTTERBUCK, Walter J."
4311,,"LE FANU, Joseph Sheridan.","JESSOP, George H."
4312,,"LEFROY, William Chambers.","TOUSSAINT, James Reginald."
4313,,,"RYLAND, John Collett."
4314,,,"TAIT, John "
4315,,"LE GENTIL, Constant.","BOUTRY, Julien Louis Camille."
4316,,"LEGGE, James.","PALMER, John Linton."
4317,,"LEGOYT, Alfred ","VOGT, Gustav."
4318,,"LEGRAND, Maxime ","MARQUIS, Léon."
4319,,"LEGUÉVEL DE LACOMBE, B. F.","FROBERVILLE, Eugène de."
4320,,"LEHAULT, Nicolas.","PAPILLON, L."
4321,,"LEHRBERG, Aron Christian.","KRUG, Johann Philipp."
4322,,,"SPENCER, John "
4323,,,"FLETCHER, William George Dimock."
4324,,"LEIGH, Frances ","LEIGH, James Wentworth "
4325,,"LEIGH, Henry Sambrooke.","SUMNER, Heywood."
4326,,"LEIGHTON, John M. ","STEWART, James "
4327,,"LEIGHTON, John M. ","FLEMING, John "
4328,,,"BOYD, Andrew Kennedy Hutchinson."
4329,,"LEITH, Mary Charlotte Julia.","HALLGRÍMSSON, Jónas."
4330,,"LEJEUNE, Augustin Laurent.","BÉGIS, Alfred."
4331,,"LEJEUNE, Louis François ","Maurice, John Frederick "
4332,,"Le Keux, John","JONES, Harry Longueville."
4333,,"Leland, John","JACKSON, John Edward "
4334,,"Leland, John","GEORGE, William "
4335,,"LE LARGE, Paul.","JONGLEUX, Henry."
4336,,"LELEWEL, Joachim.","HANDSCHUCH, H. F."
4337,,"LÉLUT, Louis Francisque.",Socrates.
4338,,"LE MAIRE, Jacob.","MEDINA, José Toribio."
4339,,"LEMALE, Alexis Guislain.","BEAUVILLIERS, Paul Hippolyte "
4340,,"LEMAY, Gaston.",SAINT
4341,,"LE MOINE, James Macpherson ","Kirby, William"
4342,,"LEMONNIER, Henry ","SCHRADER, Jean Daniel François."
4343,,"LEMONNIER, Henry ","SCHRADER, Jean Daniel François."
4344,,"LE MOYNE DE LA BORDERIE, Louis Arthur.",Geoffrey 
4345,,"LE NEVE, Peter.","CARTHEW, George Alfred."
4346,,,"MASSON, Charles François Philibert."
4347,,,"MASSON, Charles François Philibert."
4348,,"LENNEP, Jacob van ","HOFDIJK, Willem Jacobs."
4349,,,"IRVING, Joseph."
4350,,"LENOIR, Paul.","HOEY, Frances Cashel "
4351,,"LENZ, Oskar.","LEHAUTCOURT, Pierre "
4352,,"LEONARD, Nicolas Germain.","SÉRIEYS, Antoine."
4353,,"LEONHARD, Carl Cæsar von.","HALL, F. "
4354,,"LEONI, Antonio.","Peruzzi, Agostino."
4355,,"LEON PINELO, Antonio de.","P., C. P."
4356,,"LEPAGE, Henri ","CHARTON, Charles "
4357,,LE PALENC ,"DOGNON, Paul."
4358,,"LE PRÉVOST, Auguste.","DELISLE, Léopold Victor."
4359,,"LEPSIUS, Carl Richard.","Mackenzie, Kenneth R. H. (Kenneth Robert Henderson)"
4360,,"LEPSIUS, Carl Richard.","BELL, William "
4361,,"LE PUILLON DE BOBLAYE, Émile.","LA BLANCHETAIS, Charles Henry."
4362,,"LE RICHE, Guillaume.","LA FONTENELLE DE VAUDORÉ, Armand Désiré de."
4363,,"LERMINA, Jules.","FAURE, Émile Valentin César."
4364,,"LEROUX, Alfred.","MOLINIER, Émile Charles Louis Marie."
4365,,"LEROUX, Alfred ","BOSVIEUX, Auguste."
4366,,LEROY,"RAGOZIN, Zenaïde Alexeïevna."
4367,,"Le Sage, Alain René","GARRICK, David."
4368,,"LE SAIGE, Jacques.","DUTHILLOEUL, Hippolyte Romain Joseph."
4369,,,"HUDDART, Ellinor."
4370,,,"HUDDART, Ellinor."
4371,,"LESLIE, Alexander ","NORDENSKIÖLD, Nils Adolf Erik "
4372,,"LESLIE, David ","DRUMMOND, William Henry "
4373,,"LESSER, Friedrich Christian.","FOERSTEMANN, Ernst Guenther."
4374,,"Lessing, Gotthold Ephraim","JOHNSTONE, James "
4375,,"LESSON, Pierre Adolphe.","MARTINET, Ludovic."
4376,,"LESTER, A. S. Ewing ","SERGEANT, Emily Frances Adeline."
4377,,"L'ESTOILE, Pierre de.","Brunet, Gustave"
4378,,"L'ESTRANGE, Alfred Guy Kingham.","HARPER, Charles George."
4379,,"L'ESTRANGE, Roger.","DALY, James Dominick."
4380,,"LETERRIER, Eugène ","CARTE, Helen D'Oyly."
4381,,,"BROXHOLME, Noel."
4382,,,"SEDGWICK, Catharine Maria."
4383,,,"W., D."
4384,,,"LYON, Charles "
4385,,"LEUPOL, L. ","MIRECOURT, Eugène de "
4386,,"LEVER, Charles James.","Rackham, Arthur"
4387,,"LEVER, Charles James.","BROWNE, Hablot Knight."
4388,,"LEVER, Charles James.","Browne, Hablot Knight"
4389,,"LEVER, Charles James.","BROWNE, Hablot Knight."
4390,,"LEVER, Charles James.","BROWNE, Hablot Knight."
4391,,"LEVER, Charles James.","BROWNE, Hablot Knight."
4392,,"LEVER, Charles James.","BROWNE, Hablot Knight."
4393,,LEVIN,"LISOLA, François Paul de "
4394,,LEVINSON,"GREGORY, John Walter."
4395,,"LEVSHIN, Aleksyei Iraklievich.","CHARRIÈRE, Ernest."
4396,,"LEWALD, afterwards LEWALD","AVIGDOR, Rachel d' "
4397,,"LEWICKI, Anatoli.","RYKACZEWSKI, Erazm."
4398,,"LEWIN, Thomas ","Airy, George Biddell "
4399,,"LEWIS, Charlton Thomas.","MUELLER, David."
4400,,"LEWIS, Henry Carvill.","BONNEY, Thomas George."
4401,,"LEWIS, Meriwether.","Clark, William"
4402,,"LEWIS, Meriwether.","ALLEN, Paul "
4403,,"LEWIS, Meriwether.","BIDDLE, Nicholas "
4404,,"LEWIS, Meriwether.","BIDDLE, Nicholas "
4405,,"LEWIS, Titus.","JONES, John Emlyn."
4406,,"LEWIS, Titus.","JONES, John Emlyn."
4407,,"LEYDEN, John.","Morton, James"
4408,,"LEYDEN, John.","Murray, Hugh"
4409,,"LEYLAND, John ","DAWSON, Alfred "
4410,,"L'HERMINE, H. de.","M., L. B. J. C."
4411,,"Liais, Emmanuel","BABINET, Jacques."
4412,,,"JIMÉNEZ DE LA ESPADA, Marcos."
4413,,"LICEAGA, José Maria.","ALAMÁN, Lúcas."
